2024/09/11 21:45:22 handlers.go:34: Received request to list VM instances
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-kibana1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-parser1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-parser2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-parser31, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-parser5, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-parser6, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-parser7, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-warm-elastic1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-warm-elastic10, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-warm-elastic11, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-warm-elastic12, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-warm-elastic13, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
